name,num_layers,learning_rate,layer_type,hidden_features,pooling,val_accuracy,val_f1
GraphConvEdges_3_0.1_64_mean,3,0.1,GraphConvEdges,64,mean,0.75,0.8444444444444443
GraphConvEdges_3_0.1_64_max,3,0.1,GraphConvEdges,64,max,0.6785714285714286,0.8085106382978724
AttentionConvEdges_3_0.1_16_mean,3,0.1,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.1_16_max,3,0.1,AttentionConvEdges,16,max,0.75,0.8444444444444443
AttentionConvEdges_3_0.1_32_mean,3,0.1,AttentionConvEdges,32,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.1_32_max,3,0.1,AttentionConvEdges,32,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_3_0.1_64_mean,3,0.1,AttentionConvEdges,64,mean,0.6785714285714286,0.8085106382978724
AttentionConvEdges_3_0.1_64_max,3,0.1,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_3_0.1_16_mean,3,0.1,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.1_16_max,3,0.1,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.1_32_mean,3,0.1,GraphSAGEConvEdges,32,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.1_32_max,3,0.1,GraphSAGEConvEdges,32,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.1_64_mean,3,0.1,GraphSAGEConvEdges,64,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.1_64_max,3,0.1,GraphSAGEConvEdges,64,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_3_0.01_16_mean,3,0.01,GraphConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_3_0.01_16_max,3,0.01,GraphConvEdges,16,max,0.75,0.8372093023255814
GraphConvEdges_3_0.01_32_mean,3,0.01,GraphConvEdges,32,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_3_0.01_32_max,3,0.01,GraphConvEdges,32,max,0.7142857142857143,0.8260869565217391
GraphConvEdges_3_0.01_64_mean,3,0.01,GraphConvEdges,64,mean,0.8214285714285714,0.8780487804878049
GraphConvEdges_3_0.01_64_max,3,0.01,GraphConvEdges,64,max,0.75,0.8372093023255814
AttentionConvEdges_3_0.01_16_mean,3,0.01,AttentionConvEdges,16,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_3_0.01_16_max,3,0.01,AttentionConvEdges,16,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_3_0.01_32_mean,3,0.01,AttentionConvEdges,32,mean,0.7857142857142857,0.8636363636363636
AttentionConvEdges_3_0.01_32_max,3,0.01,AttentionConvEdges,32,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_3_0.01_64_mean,3,0.01,AttentionConvEdges,64,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.01_64_max,3,0.01,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_3_0.01_16_mean,3,0.01,GraphSAGEConvEdges,16,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_3_0.01_16_max,3,0.01,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.01_32_mean,3,0.01,GraphSAGEConvEdges,32,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_3_0.01_32_max,3,0.01,GraphSAGEConvEdges,32,max,0.7857142857142857,0.8636363636363636
GraphSAGEConvEdges_3_0.01_64_mean,3,0.01,GraphSAGEConvEdges,64,mean,0.7142857142857143,0.8095238095238095
GraphSAGEConvEdges_3_0.01_64_max,3,0.01,GraphSAGEConvEdges,64,max,0.75,0.8444444444444443
GraphConvEdges_3_0.001_16_mean,3,0.001,GraphConvEdges,16,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_3_0.001_16_max,3,0.001,GraphConvEdges,16,max,0.75,0.8372093023255814
GraphConvEdges_3_0.001_32_mean,3,0.001,GraphConvEdges,32,mean,0.75,0.8292682926829269
GraphConvEdges_3_0.001_32_max,3,0.001,GraphConvEdges,32,max,0.7857142857142857,0.8636363636363636
GraphConvEdges_3_0.001_64_mean,3,0.001,GraphConvEdges,64,mean,0.75,0.8292682926829269
GraphConvEdges_3_0.001_64_max,3,0.001,GraphConvEdges,64,max,0.7142857142857143,0.8181818181818181
AttentionConvEdges_3_0.001_16_mean,3,0.001,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.001_16_max,3,0.001,AttentionConvEdges,16,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_3_0.001_32_mean,3,0.001,AttentionConvEdges,32,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.001_32_max,3,0.001,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_3_0.001_64_mean,3,0.001,AttentionConvEdges,64,mean,0.75,0.8444444444444443
AttentionConvEdges_3_0.001_64_max,3,0.001,AttentionConvEdges,64,max,0.7142857142857143,0.8260869565217391
GraphSAGEConvEdges_3_0.001_16_mean,3,0.001,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_3_0.001_16_max,3,0.001,GraphSAGEConvEdges,16,max,0.7857142857142857,0.8636363636363636
GraphSAGEConvEdges_3_0.001_32_mean,3,0.001,GraphSAGEConvEdges,32,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_3_0.001_32_max,3,0.001,GraphSAGEConvEdges,32,max,0.75,0.8372093023255814
GraphSAGEConvEdges_3_0.001_64_mean,3,0.001,GraphSAGEConvEdges,64,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_3_0.001_64_max,3,0.001,GraphSAGEConvEdges,64,max,0.7857142857142857,0.8636363636363636
GraphConvEdges_4_0.1_16_mean,4,0.1,GraphConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.1_16_max,4,0.1,GraphConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.1_32_mean,4,0.1,GraphConvEdges,32,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.1_32_max,4,0.1,GraphConvEdges,32,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.1_64_mean,4,0.1,GraphConvEdges,64,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.1_64_max,4,0.1,GraphConvEdges,64,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_4_0.1_16_mean,4,0.1,AttentionConvEdges,16,mean,0.6785714285714286,0.8085106382978724
AttentionConvEdges_4_0.1_16_max,4,0.1,AttentionConvEdges,16,max,0.75,0.8444444444444443
AttentionConvEdges_4_0.1_32_mean,4,0.1,AttentionConvEdges,32,mean,0.6785714285714286,0.8085106382978724
AttentionConvEdges_4_0.1_32_max,4,0.1,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_4_0.1_64_mean,4,0.1,AttentionConvEdges,64,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_4_0.1_64_max,4,0.1,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_4_0.1_16_mean,4,0.1,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.1_16_max,4,0.1,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.1_32_mean,4,0.1,GraphSAGEConvEdges,32,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.1_32_max,4,0.1,GraphSAGEConvEdges,32,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.1_64_mean,4,0.1,GraphSAGEConvEdges,64,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.1_64_max,4,0.1,GraphSAGEConvEdges,64,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.01_16_mean,4,0.01,GraphConvEdges,16,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_4_0.01_16_max,4,0.01,GraphConvEdges,16,max,0.7857142857142857,0.8571428571428571
GraphConvEdges_4_0.01_32_mean,4,0.01,GraphConvEdges,32,mean,0.8214285714285714,0.8780487804878049
GraphConvEdges_4_0.01_32_max,4,0.01,GraphConvEdges,32,max,0.75,0.8444444444444443
GraphConvEdges_4_0.01_64_mean,4,0.01,GraphConvEdges,64,mean,0.8571428571428571,0.9047619047619047
GraphConvEdges_4_0.01_64_max,4,0.01,GraphConvEdges,64,max,0.7857142857142857,0.8636363636363636
AttentionConvEdges_4_0.01_16_mean,4,0.01,AttentionConvEdges,16,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_4_0.01_16_max,4,0.01,AttentionConvEdges,16,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_4_0.01_32_mean,4,0.01,AttentionConvEdges,32,mean,0.75,0.8444444444444443
AttentionConvEdges_4_0.01_32_max,4,0.01,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_4_0.01_64_mean,4,0.01,AttentionConvEdges,64,mean,0.75,0.8444444444444443
AttentionConvEdges_4_0.01_64_max,4,0.01,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_4_0.01_16_mean,4,0.01,GraphSAGEConvEdges,16,mean,0.75,0.8372093023255814
GraphSAGEConvEdges_4_0.01_16_max,4,0.01,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.01_32_mean,4,0.01,GraphSAGEConvEdges,32,mean,0.8214285714285714,0.8780487804878049
GraphSAGEConvEdges_4_0.01_32_max,4,0.01,GraphSAGEConvEdges,32,max,0.75,0.8444444444444443
GraphSAGEConvEdges_4_0.01_64_mean,4,0.01,GraphSAGEConvEdges,64,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_4_0.01_64_max,4,0.01,GraphSAGEConvEdges,64,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_4_0.001_16_mean,4,0.001,GraphConvEdges,16,mean,0.7142857142857143,0.8260869565217391
GraphConvEdges_4_0.001_16_max,4,0.001,GraphConvEdges,16,max,0.75,0.8372093023255814
GraphConvEdges_4_0.001_32_mean,4,0.001,GraphConvEdges,32,mean,0.7857142857142857,0.8500000000000001
GraphConvEdges_4_0.001_32_max,4,0.001,GraphConvEdges,32,max,0.7857142857142857,0.8571428571428571
GraphConvEdges_4_0.001_64_mean,4,0.001,GraphConvEdges,64,mean,0.8214285714285714,0.8780487804878049
GraphConvEdges_4_0.001_64_max,4,0.001,GraphConvEdges,64,max,0.7142857142857143,0.8095238095238095
AttentionConvEdges_4_0.001_16_mean,4,0.001,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_4_0.001_16_max,4,0.001,AttentionConvEdges,16,max,0.75,0.8444444444444443
AttentionConvEdges_4_0.001_32_mean,4,0.001,AttentionConvEdges,32,mean,0.75,0.8444444444444443
AttentionConvEdges_4_0.001_32_max,4,0.001,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_4_0.001_64_mean,4,0.001,AttentionConvEdges,64,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_4_0.001_64_max,4,0.001,AttentionConvEdges,64,max,0.7142857142857143,0.8260869565217391
GraphSAGEConvEdges_4_0.001_16_mean,4,0.001,GraphSAGEConvEdges,16,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_4_0.001_16_max,4,0.001,GraphSAGEConvEdges,16,max,0.7142857142857143,0.8260869565217391
GraphSAGEConvEdges_4_0.001_32_mean,4,0.001,GraphSAGEConvEdges,32,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_4_0.001_32_max,4,0.001,GraphSAGEConvEdges,32,max,0.7142857142857143,0.8095238095238095
GraphSAGEConvEdges_4_0.001_64_mean,4,0.001,GraphSAGEConvEdges,64,mean,0.75,0.8292682926829269
GraphSAGEConvEdges_4_0.001_64_max,4,0.001,GraphSAGEConvEdges,64,max,0.75,0.8372093023255814
